D1	D2	RR	direction_yes_no	p5years	p.value.direction	AGE_AT_D1	counts	female_counts	CODE_DIFF_DAYS	death_counts
B07	M85	1.85832	1	1.59010784365953e-14	1.546231e-08	18530.9	109	71	866.5	nan
B17	C22	11.6194	1	4.7451336839476e-49	1.800725e-08	21516.24	29	nan	485.9	nan
B18	A26	5.06404	1	1.46626310716891e-88	9.704787e-08	17751.09	23	nan	804.39	nan
B18	A41	2.40504	1	4.94065645841247e-324	9.305444e-13	17057.97	667	205	607.9	349
B18	A49	2.4955	1	3.01877484133008e-289	2.182706e-09	16562.21	327	95	660.65	118
B18	C22	29.9503	1	0	1.421125e-52	20993.95	340	71	477.55	274
B18	D64	2.31578	1	0	6.67181e-08	18012.89	460	179	643.24	234
B18	E14	1.35387	1	1.04838371574206e-25	2.558589e-08	18879.19	173	50	690.15	77
B18	E86	2.20806	1	3.67552542052549e-280	1.17065e-32	19533.11	392	141	659.33	247
B18	E87	1.7832	1	6.78199667982248e-121	3.207239e-33	18610.14	298	121	669.82	178
B18	F05	2.34002	1	1.63447158578164e-63	2.567372e-11	18766.31	84	nan	715.8	51
B18	F17	2.02226	1	4.43045829971257e-205	1.152113e-14	16194.87	434	145	611.35	130
B18	G31	2.38655	1	2.16732902341323e-33	9.835642e-09	17037.61	41	nan	712.93	nan
B18	G93	2.67693	1	2.46384802223043e-89	4.119759e-08	17388.16	74	nan	560.22	48
B18	I46	1.90779	1	6.65369635979156e-57	2.22401e-31	17480.13	163	49	722.54	142
B18	I61	1.70103	1	2.04084483659328e-26	4.155553e-09	18779.56	91	20	703.31	57
B18	I81	7.35978	1	6.84476594620522e-204	4.921424e-08	19405.25	36	nan	558.22	nan
B18	I85	13.8811	1	0	2.311063e-25	18383.15	479	116	554.21	309
B18	J15	1.82337	1	2.88568458361678e-163	1.910768e-17	18108.52	401	120	722.28	207
B18	J22	2.11557	1	3.64421990510621e-39	2.151821e-08	17383.24	54	nan	809.57	21
B18	J44	1.77844	1	3.86823580141395e-292	8.532959e-22	18475.56	512	189	721.66	192
B18	J96	2.0319	1	7.20621407353893e-291	7.356934e-50	18065.31	465	117	655.91	284
B18	K55	1.84718	1	1.39868036635215e-15	3.727605e-09	20138.55	22	nan	646.5	nan
B18	K59	1.3264	1	3.72327165162628e-56	8.046678e-22	17249.33	527	229	731.48	196
B18	K65	3.5256	1	0	2.748476e-09	18111.99	202	64	521.75	130
B18	K72	16.8294	1	0	6.356978e-54	18449.03	658	193	497.09	507
B18	K74	26.932	1	0	1.154223e-78	19016.91	1166	354	485.23	594
B18	K76	8.00799	1	0	5.971382e-13	17809.01	594	187	486.5	268
B18	L29	2.78534	1	3.25323257909369e-49	9.296357e-08	16632.16	49	21	745.49	nan
B18	L30	1.76908	1	2.04677098306603e-46	3.250988e-08	15646.49	156	49	736.15	26
B18	M81	1.18963	1	1.17261474533353e-10	1.461753e-30	20228.99	183	102	795.22	60
B18	N39	1.18066	1	2.18104081781267e-13	6.510526e-17	18392.76	321	178	755.66	114
B20	E86	2.03347	1	1.06397640228202e-27	5.777101e-08	18070.61	70	22	445.96	49
B20	J44	1.73995	1	1.67331232857798e-32	2.227755e-09	18642.35	81	30	744.72	44
B20	M81	1.91408	1	5.19229365471105e-16	1.26942e-17	19688.79	33	nan	846.33	nan
B23	A41	2.65123	1	0	1.988069e-24	15189.35	223	55	525.7	114
B23	A49	2.32563	1	4.90339048724643e-113	1.189484e-08	14478.44	70	23	670.96	21
B23	B18	12.6685	1	0	3.038424e-13	13877.54	496	139	393.06	105
B23	B22	98.3729	1	0	1.453321e-21	14838.18	367	75	595.34	173
B23	B24	95.1988	1	0	3.613093e-31	14461.77	494	162	568.5	139
B23	C21	15.2967	1	0	1.820699e-08	17182.73	22	nan	407.45	nan
B23	C44	2.5096	1	2.19543829997046e-89	1.689038e-09	19353.15	60	nan	729.22	nan
B23	D23	2.44283	1	5.10154959577126e-79	1.637564e-09	15299.41	68	nan	750.13	nan
B23	D64	3.00393	1	0	1.21878e-11	14752.25	241	84	431.94	111
B23	E86	1.92191	1	6.73263557699323e-81	1.834224e-16	17691	73	21	579.93	39
B23	E87	1.54915	1	1.13443385075188e-29	2.090272e-20	18040.77	52	nan	571.25	30
B23	F17	1.61361	1	2.29956865585548e-40	5.369723e-19	14578.5	72	20	648.26	nan
B23	F33	1.78785	1	1.71478853698025e-27	1.259706e-07	16355.84	32	nan	800.03	nan
B23	G62	3.22056	1	2.54637902871648e-202	1.354724e-17	16762.17	65	nan	636.25	nan
B23	J09	5.08201	1	2.2883931715007e-60	1.490116e-08	nan	nan	nan	nan	nan
B23	J10	4.05809	1	1.21958116567951e-44	2.104926e-09	nan	nan	nan	nan	nan
B23	J13	17.9409	1	0	3.44852e-08	14137.79	178	47	476.31	73
B23	J15	2.80992	1	4.94065645841247e-324	7.019219e-25	16375.91	157	40	588.07	65
B23	J44	1.81345	1	3.78461745361457e-151	2.112187e-29	17826.59	87	25	773.76	36
B23	J96	1.88386	1	1.83307406374325e-107	1.120119e-15	17072.02	108	22	515.63	57
B23	K59	1.52272	1	1.07243566142144e-64	3.983887e-26	15422.31	127	33	779.2	35
B23	K72	2.44001	1	7.1086207857549e-60	1.58637e-09	14965.79	33	nan	755.61	nan
B23	K74	3.09437	1	5.89314860865827e-124	1.187698e-12	16610.5	24	nan	712.38	nan
B23	L30	4.38412	1	1.00756131937691e-309	2.323777e-17	14729.66	137	27	665.96	25
B23	L57	2.8853	1	2.87684463676306e-35	8.525717e-09	nan	nan	nan	nan	nan
B23	L82	2.45389	1	1.44720003350848e-17	4.479701e-08	18064.19	21	nan	819.05	nan
B23	L98	2.68657	1	2.64134735706723e-106	1.267787e-07	14652.78	82	26	680.51	nan
B23	M81	2.15714	1	4.72490065102194e-112	2.349739e-44	18363.58	40	nan	999.55	nan
